iter	Logloss
0	0.6386646194
1	0.5945697835
2	0.562393748
3	0.5358553238
4	0.5139538422
5	0.4970727717
6	0.4837100881
7	0.4729555435
8	0.4641444016
9	0.4572634862
10	0.4521694692
11	0.4468303401
12	0.443186554
13	0.4408169276
14	0.437818306
15	0.4356911875
16	0.433531695
17	0.4318241348
18	0.4304480413
19	0.4290962321
20	0.4282252248
21	0.4273675207
22	0.4265092875
23	0.4257079976
24	0.4250309067
25	0.4242989095
26	0.4238280614
27	0.4231678696
28	0.4225644684
29	0.4219442139
30	0.4213161418
31	0.4207793706
32	0.4202367808
33	0.4198685862
34	0.4194492035
35	0.4188911947
36	0.4183590724
37	0.4179199498
38	0.4175276693
39	0.417185585
40	0.4166957753
41	0.4164802831
42	0.4162226283
43	0.415976415
44	0.4156183828
45	0.4152908122
46	0.4150821635
47	0.4146330516
48	0.4144496841
49	0.4139824193
50	0.413656573
51	0.4133718898
52	0.4130338338
53	0.4126881053
54	0.4122858124
55	0.4119408798
56	0.4118080088
57	0.4116191152
58	0.4113263855
59	0.4109667028
60	0.4106028671
61	0.4102880198
62	0.4100004908
63	0.4097029622
64	0.4094619726
65	0.4092369817
66	0.4090216573
67	0.4087879308
68	0.4084033254
69	0.408177831
70	0.4080177307
71	0.4076533
72	0.4073937734
73	0.4071144104
74	0.4069621099
75	0.4067312317
76	0.4063898697
77	0.4060514679
78	0.4058305155
79	0.4056692912
80	0.4055458959
81	0.4053890635
82	0.4052211456
83	0.4050376994
84	0.4048646774
85	0.4046645533
86	0.404348292
87	0.4040517909
88	0.4037748133
89	0.4033988495
90	0.403126737
91	0.4027774404
92	0.4025754649
93	0.4023610535
94	0.402088089
95	0.4018443782
96	0.4015322978
97	0.4012106679
98	0.4009653804
99	0.4007619883
