iter	Passed	Remaining
0	190	18848
1	216	10617
2	257	8336
3	307	7383
4	340	6465
5	391	6127
6	417	5541
7	479	5514
8	503	5088
9	556	5005
10	589	4772
11	668	4904
12	701	4694
13	727	4468
14	756	4289
15	782	4107
16	809	3953
17	839	3822
18	867	3700
19	888	3553
20	915	3444
21	947	3361
22	992	3323
23	1025	3248
24	1047	3142
25	1077	3066
26	1100	2976
27	1128	2901
28	1149	2814
29	1175	2742
30	1202	2677
31	1242	2641
32	1277	2593
33	1305	2533
34	1332	2475
35	1366	2428
36	1395	2375
37	1421	2319
38	1462	2287
39	1497	2246
40	1523	2192
41	1557	2151
42	1583	2098
43	1610	2049
44	1634	1997
45	1661	1950
46	1698	1915
47	1732	1876
48	1756	1828
49	1804	1804
50	1838	1766
51	1875	1730
52	1908	1692
53	1935	1648
54	1962	1605
55	1988	1562
56	2014	1519
57	2041	1478
58	2097	1457
59	2129	1419
60	2156	1378
61	2192	1343
62	2228	1308
63	2269	1276
64	2297	1237
65	2322	1196
66	2346	1155
67	2379	1119
68	2408	1081
69	2437	1044
70	2461	1005
71	2502	973
72	2529	935
73	2569	902
74	2598	866
75	2626	829
76	2661	794
77	2689	758
78	2722	723
79	2762	690
80	2820	661
81	2886	633
82	2949	604
83	2991	569
84	3029	534
85	3067	499
86	3118	466
87	3229	440
88	3302	408
89	3336	370
90	3368	333
91	3391	294
92	3416	257
93	3438	219
94	3465	182
95	3493	145
96	3528	109
97	3562	72
98	3588	36
99	3611	0
