iter	Logloss
0	0.6393252923
1	0.5969402943
2	0.5632740335
3	0.536339893
4	0.5151311925
5	0.4979751405
6	0.4854263671
7	0.4757592922
8	0.4671291845
9	0.4609401395
10	0.4554223436
11	0.4507058125
12	0.4468003963
13	0.4436524842
14	0.4413257037
15	0.4384485058
16	0.4365724369
17	0.4348144613
18	0.4335456338
19	0.432382535
20	0.4312351775
21	0.4302825209
22	0.4295065084
23	0.4286107125
24	0.4279580131
25	0.4274236646
26	0.4269899097
27	0.4262080216
28	0.4257020583
29	0.4254499383
30	0.4251180826
31	0.4246511682
32	0.4243731713
33	0.4239787065
34	0.4235241216
35	0.4232311892
36	0.4230780683
37	0.4228884137
38	0.4225987868
39	0.4223059905
40	0.4220265527
41	0.4217913292
42	0.4216728093
43	0.4214840624
44	0.4212493327
45	0.4209705479
46	0.4207722718
47	0.4205315594
48	0.4203685636
49	0.4201458416
50	0.4199635437
51	0.4197766335
52	0.4195864846
53	0.4194931105
54	0.4193383169
55	0.4191411036
56	0.4189328395
57	0.4186257443
58	0.4184597649
59	0.4181979602
60	0.4180110506
61	0.4179011279
62	0.4177518611
63	0.4175294913
64	0.4174221054
65	0.4172645437
66	0.4170928879
67	0.4168650746
68	0.4167500605
69	0.4165481219
70	0.4164249761
71	0.4161923525
72	0.4160291946
73	0.4158979335
74	0.4157496276
75	0.4156567662
76	0.4154492433
77	0.4153120101
78	0.4151976855
79	0.4150371909
80	0.4148444912
81	0.4146566604
82	0.4145521877
83	0.4143993796
84	0.4142301708
85	0.4140880652
86	0.4139669356
87	0.4138177883
88	0.4136323814
89	0.4135127188
90	0.4133635331
91	0.4131733257
92	0.4130137081
93	0.4129131
94	0.4126997839
95	0.4125571262
96	0.4124050992
97	0.4122669383
98	0.4121347335
99	0.4120430045
