iter	Passed	Remaining
0	38	3764
1	68	3338
2	92	2982
3	115	2760
4	135	2577
5	160	2511
6	179	2379
7	196	2257
8	212	2145
9	230	2072
10	247	2000
11	262	1926
12	278	1866
13	293	1802
14	309	1752
15	325	1710
16	341	1666
17	357	1629
18	373	1593
19	388	1555
20	405	1526
21	424	1504
22	439	1471
23	456	1444
24	473	1420
25	489	1392
26	506	1369
27	523	1346
28	539	1321
29	556	1298
30	580	1292
31	602	1280
32	622	1263
33	641	1245
34	660	1226
35	678	1206
36	695	1184
37	713	1163
38	729	1141
39	747	1120
40	764	1099
41	780	1077
42	797	1056
43	814	1036
44	831	1016
45	850	998
46	866	977
47	882	955
48	898	935
49	915	915
50	934	898
51	954	881
52	971	861
53	990	843
54	1009	826
55	1032	810
56	1050	792
57	1069	774
58	1090	757
59	1109	739
60	1129	721
61	1147	703
62	1164	684
63	1184	666
64	1202	647
65	1220	628
66	1236	609
67	1255	590
68	1273	572
69	1290	553
70	1308	534
71	1327	516
72	1346	498
73	1363	479
74	1378	459
75	1395	440
76	1412	421
77	1431	403
78	1450	385
79	1468	367
80	1487	348
81	1506	330
82	1524	312
83	1543	294
84	1562	275
85	1580	257
86	1599	239
87	1617	220
88	1635	202
89	1653	183
90	1671	165
91	1686	146
92	1703	128
93	1721	109
94	1738	91
95	1756	73
96	1777	54
97	1795	36
98	1815	18
99	1832	0
